step,ce_loss,ppl,grad,tps,mfu,total_tokens
2020,3.134,22.97,0.1493,15840.0,52.23,8472494080.0
2030,3.226,25.19,0.1642,15843.0,52.24,8514437120.0
2040,3.127,22.81,0.1658,15844.0,52.25,8556380160.0
2050,3.223,25.11,0.1732,15848.0,52.26,8598323200.0
2060,3.15,23.34,0.1729,15851.0,52.27,8640266240.0
2070,3.214,24.87,0.1581,15848.0,52.26,8682209280.0
2080,3.212,24.83,0.2021,15850.0,52.26,8724152320.0
2090,3.197,24.46,0.1464,15852.0,52.27,8766095360.0
2100,3.178,24.0,0.1594,15852.0,52.27,8808038400.0
2110,3.15,23.33,0.155,15853.0,52.28,8849981440.0
2120,3.201,24.56,0.1936,15855.0,52.28,8891924480.0
2130,3.122,22.7,0.1675,15853.0,52.27,8933867520.0
2140,3.225,25.15,0.178,15854.0,52.28,8975810560.0
2150,3.159,23.55,0.1843,15856.0,52.29,9017753600.0
2160,3.18,24.03,0.1743,15857.0,52.29,9059696640.0
2170,3.201,24.55,0.1699,15857.0,52.29,9101639680.0
2180,3.112,22.47,0.1642,15858.0,52.29,9143582720.0
2190,3.227,25.21,0.1763,15856.0,52.29,9185525760.0
2200,3.083,21.83,0.1651,15858.0,52.29,9227468800.0
2210,3.24,25.53,0.1601,15858.0,52.29,9269411840.0
2220,3.093,22.03,0.1523,15858.0,52.29,9311354880.0
2230,3.226,25.19,0.1583,15859.0,52.3,9353297920.0
2240,3.129,22.85,0.1675,15859.0,52.3,9395240960.0
2250,3.204,24.62,0.171,15857.0,52.29,9437184000.0
2260,3.202,24.59,0.1923,15856.0,52.29,9479127040.0
2270,3.199,24.5,0.1565,15855.0,52.28,9521070080.0
2280,3.187,24.22,0.166,15854.0,52.28,9563013120.0
2290,3.132,22.92,0.1664,15854.0,52.28,9604956160.0
2300,3.227,25.21,0.1727,15854.0,52.28,9646899200.0
2310,3.061,21.34,0.156,15851.0,52.27,9688842240.0
2320,3.246,25.68,0.1706,15850.0,52.26,9730785280.0
2330,3.097,22.13,0.1761,15848.0,52.26,9772728320.0
2340,3.183,24.13,0.1684,15849.0,52.26,9814671360.0
2350,3.186,24.19,0.194,15849.0,52.26,9856614400.0
2360,3.155,23.46,0.1691,15847.0,52.25,9898557440.0
2370,3.194,24.39,0.1648,15846.0,52.25,9940500480.0
2380,3.074,21.63,0.1652,15847.0,52.25,9982443520.0
